gymName,url,facilities,imagery,cta,facilitiesEvidence,imageryEvidence,ctaEvidence
"Aberdeen Fitness & Wellbeing Gym
                      Aberdeen","https://www.nuffieldhealth.com/gyms/aberdeen",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Aylesbury Fitness & Wellbeing Gym
                      Aylesbury","https://www.nuffieldhealth.com/gyms/aylesbury",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Baltimore Wharf Fitness & Wellbeing Gym
                      Baltimore Wharf","https://www.nuffieldhealth.com/gyms/baltimore-wharf",Fail,Fail,Fail,"8 facility terms found (swimming pool, pool, steam room, studio, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=10; top-of-page CTA=false; online-signal href=true"
"Barbican Fitness and Wellbeing Centre
                      Barbican","https://www.nuffieldhealth.com/gyms/barbican",Pass,Fail,Fail,"13 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, studio, studios); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Battersea Fitness & Wellbeing Gym
                      Battersea","https://www.nuffieldhealth.com/gyms/battersea",Fail,Fail,Pass,"9 facility terms found (pool, sauna, steam room, studio, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 5 relevant images found, 0 modern-format assets, 5 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 5, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Birmingham Central Fitness & Wellbeing Gym
                      Birmingham Central","https://www.nuffieldhealth.com/gyms/birmingham-central",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Birmingham Rubery Fitness & Wellbeing Gym
                      Birmingham Rubery","https://www.nuffieldhealth.com/gyms/birmingham-rubery",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Bishop's Stortford Fitness & Wellbeing Gym
                      Bishop's Stortford","https://www.nuffieldhealth.com/gyms/bishops-stortford",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Bloomsbury Fitness & Wellbeing Gym
                      Bloomsbury","https://www.nuffieldhealth.com/gyms/bloomsbury",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=15; top-of-page CTA=true; online-signal href=true"
"Bolton Fitness & Wellbeing Gym
                      Bolton","https://www.nuffieldhealth.com/gyms/bolton",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 6 relevant images found, 0 modern-format assets, 6 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 6, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Bridgend Fitness & Wellbeing Gym
                      Bridgend","https://www.nuffieldhealth.com/gyms/bridgend",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Bristol Fitness & Wellbeing Gym
                      Bristol","https://www.nuffieldhealth.com/gyms/bristol",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Bristol North Gym, Stoke Gifford
                      Bristol North","https://www.nuffieldhealth.com/gyms/bristol-north",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=12; top-of-page CTA=true; online-signal href=true"
"Bromley Fitness & Wellbeing Gym
                      Bromley","https://www.nuffieldhealth.com/gyms/bromley",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
